dataset,method,test_f1,test_acc,test_auc,val_auc,layer,num_train
100_news_fake,logreg,1.0,1.0,1.0,1.0,41,1024
105_click_bait,logreg,0.9974076256631161,0.9974076474400518,0.9998857549914989,0.9995866060355518,41,1024
106_hate_hate,logreg,0.6852001384679639,0.6852830188679245,0.749317495309046,0.7182873149259703,41,1024
107_hate_offensive,logreg,0.8555943586542476,0.8555974842767295,0.9256236968869077,0.9439775910364145,41,1024
110_aimade_humangpt3,logreg,0.9038975099193656,0.9038993710691824,0.9714266980848352,0.9967987194877952,41,1024
113_movie_sent,logreg,0.921755113407559,0.9217610062893081,0.9740491261610935,0.9775910364145658,41,1024
114_nyc_borough_Manhattan,logreg,0.7610226243360161,0.7610256410256411,0.8253652337832834,0.8661770705834352,41,1024
115_nyc_borough_Brooklyn,logreg,0.693290744370482,0.6933333333333334,0.7627684552462383,0.8153814769481844,41,1024
116_nyc_borough_Bronx,logreg,0.7045090756965352,0.7046153846153846,0.783960850977884,0.8053855569155447,41,1024
117_us_state_FL,logreg,0.9392699499082477,0.9393939393939394,0.9783673469387756,0.9783653846153846,41,900
118_us_state_CA,logreg,0.9393568033273916,0.9393939393939394,0.9820408163265306,0.9863782051282052,41,900
119_us_state_TX,logreg,0.9190265998776638,0.9191919191919192,0.986938775510204,0.9811698717948718,41,900
120_us_timezone_Chicago,logreg,0.8513208900005279,0.8513220632856524,0.9338317192284162,0.9508,41,1024
121_us_timezone_New_York,logreg,0.8812153683086841,0.8812310359774599,0.9483511478608287,0.956,41,1024
122_us_timezone_Los_Angeles,logreg,0.9050392986736924,0.9050715214564369,0.9651395425391676,0.982,41,1024
123_world_country_United_Kingdom,logreg,0.9876923076923076,0.9876923076923076,0.9994824452149325,0.9991840065279478,41,1024
124_world_country_United_States,logreg,0.9887172840632114,0.9887179487179487,0.9978414178476454,1.0,41,1024
125_world_country_Italy,logreg,0.9897431365770561,0.9897435897435898,0.9986114383815261,1.0,41,1024
126_art_type_book,logreg,0.8049194900772656,0.8049414824447334,0.8945900303781409,0.9196,41,1024
127_art_type_song,logreg,0.8170679393181773,0.8170784568703945,0.9032258549394918,0.9263999999999999,41,1024
128_art_type_movie,logreg,0.7572599641845416,0.7572605114867794,0.8488672455699172,0.8656000000000001,41,1024
129_arith_mc_A,logreg,0.9360306253289146,0.9360341151385928,0.9839970903800691,0.9932000000000001,41,1024
130_temp_cat_Frequency,logreg,1.0,1.0,1.0,1.0,41,962
131_temp_cat_Typical Time,logreg,1.0,1.0,1.0,1.0,41,962
132_temp_cat_Event Ordering,logreg,1.0,1.0,1.0,1.0,41,962
133_context_type_Causality,logreg,0.9510569630962821,0.9511111111111111,0.9751896333754742,0.9736201298701298,41,1024
134_context_type_Belief_states,logreg,0.9599984196282176,0.96,0.9801675094816688,0.950487012987013,41,1024
135_context_type_Event_duration,logreg,0.9822222222222222,0.9822222222222222,0.9984987357774967,1.0,41,1024
136_glue_mnli_entailment,logreg,0.7212688067287621,0.7212830515821413,0.7937976584330532,0.8268,41,1024
137_glue_mnli_neutral,logreg,0.6552740717602075,0.6553966189856957,0.7139539532919172,0.7240000000000001,41,1024
138_glue_mnli_contradiction,logreg,0.736875867705251,0.7368877329865626,0.8183767460666995,0.8036000000000001,41,1024
139_news_class_Politics,logreg,0.9409808159713501,0.9410169491525424,0.9810959982055723,0.9750402576489533,41,1024
140_news_class_Technology,logreg,0.907115570167489,0.9071186440677966,0.9721385680613929,0.9508856682769726,41,1024
141_news_class_Entertainment,logreg,0.9165907706322161,0.9166101694915254,0.9650831209804637,0.9883252818035427,41,1024
142_cancer_cat_Thyroid_Cancer,logreg,0.9941687988159756,0.9941690962099126,1.0,1.0,41,1024
143_cancer_cat_Lung_Cancer,logreg,1.0,1.0,1.0,1.0,41,1024
144_cancer_cat_Colon_Cancer,logreg,1.0,1.0,1.0,1.0,41,1024
145_disease_class_digestive system diseases,logreg,0.6453785163462583,0.6464646464646465,0.693877551020408,0.7406060606060606,41,952
146_disease_class_cardiovascular diseases,logreg,0.9190265998776638,0.9191919191919192,0.9653061224489796,0.9494949494949495,41,952
147_disease_class_nervous system diseases,logreg,0.797979797979798,0.797979797979798,0.8685714285714284,0.9333333333333333,41,952
148_twt_emotion_worry,logreg,0.6088131997130388,0.6088135593220338,0.6602372468772177,0.6658615136876006,41,1024
149_twt_emotion_happiness,logreg,0.7623874854310309,0.7627118644067796,0.8229160921188587,0.8586956521739131,41,1024
150_twt_emotion_sadness,logreg,0.6745744762535363,0.6745762711864407,0.7276937559063514,0.7858293075684379,41,1024
151_it_tick_HR Support,logreg,0.8337407560961578,0.8337468982630273,0.9177749864538692,0.9195678271308524,41,1024
152_it_tick_Hardware,logreg,0.7965185370802724,0.7965260545905707,0.8693660410817201,0.9311724689875951,41,1024
