dataset,method,test_f1,test_acc,test_auc,val_auc,layer,num_train
100_news_fake,logreg,1.0,1.0,1.0,1.0,31,1024
105_click_bait,logreg,0.997407640907015,0.9974076474400518,0.9998571937393734,0.9995866060355518,31,1024
106_hate_hate,logreg,0.6499954257166654,0.6505660377358491,0.706751075147412,0.6586634653861544,31,1024
107_hate_offensive,logreg,0.8185655757495168,0.8186163522012578,0.8971458342404706,0.9119647859143657,31,1024
110_aimade_humangpt3,logreg,0.9099242460158046,0.909937106918239,0.9709325403857468,0.9951980792316927,31,1024
113_movie_sent,logreg,0.9255337334536222,0.9255345911949685,0.9726150055845896,0.9795918367346939,31,1024
114_nyc_borough_Manhattan,logreg,0.7096391305329736,0.7097435897435898,0.792847645336116,0.8421052631578947,31,1024
115_nyc_borough_Brooklyn,logreg,0.6265841750841752,0.6266666666666667,0.7110108728582489,0.7425540595675235,31,1024
116_nyc_borough_Bronx,logreg,0.678974358974359,0.678974358974359,0.7293398862221026,0.7780497756017952,31,1024
117_us_state_FL,logreg,0.8989280055456527,0.898989898989899,0.970204081632653,0.9771634615384616,31,900
118_us_state_CA,logreg,0.9089050959260463,0.9090909090909091,0.9795918367346939,0.9859775641025641,31,900
119_us_state_TX,logreg,0.9392699499082477,0.9393939393939394,0.9930612244897958,0.9767628205128205,31,900
120_us_timezone_Chicago,logreg,0.8617251322608469,0.8617251842219332,0.9284306180395954,0.9580000000000001,31,1024
121_us_timezone_New_York,logreg,0.8929308856782038,0.8929345470307759,0.9560666846039493,0.9628,31,1024
122_us_timezone_Los_Angeles,logreg,0.9032367654190673,0.9033376679670568,0.9672687180304262,0.9604,31,1024
123_world_country_United_Kingdom,logreg,0.9928205128205129,0.9928205128205129,0.9996549634766216,1.0,31,1024
124_world_country_United_States,logreg,0.9887175926633989,0.9887179487179487,0.9995792237519777,1.0,31,1024
125_world_country_Italy,logreg,0.9897435897435898,0.9897435897435898,0.9995581849395765,1.0,31,1024
126_art_type_book,logreg,0.8109082880018182,0.8110099696575639,0.8967184543072777,0.9312,31,1024
127_art_type_song,logreg,0.8044416607389742,0.8045080190723883,0.8894745227956307,0.93,31,1024
128_art_type_movie,logreg,0.7611615920869175,0.7611616818378847,0.8482554740027146,0.8728,31,1024
129_arith_mc_A,logreg,0.9210764479038117,0.9211087420042644,0.9713766139298053,0.9723999999999999,31,1024
130_temp_cat_Frequency,logreg,1.0,1.0,1.0,1.0,31,962
131_temp_cat_Typical Time,logreg,1.0,1.0,1.0,1.0,31,962
132_temp_cat_Event Ordering,logreg,1.0,1.0,1.0,1.0,31,962
133_context_type_Causality,logreg,0.9688815120718538,0.9688888888888889,0.9823008849557522,0.9898538961038961,31,1024
134_context_type_Belief_states,logreg,0.946622376884952,0.9466666666666667,0.9808786346396965,0.9622564935064936,31,1024
135_context_type_Event_duration,logreg,0.9866666666666667,0.9866666666666667,0.9983407079646018,1.0,31,1024
136_glue_mnli_entailment,logreg,0.7710939215352107,0.7711313394018205,0.8599268579742996,0.8828,31,1024
137_glue_mnli_neutral,logreg,0.7034447461829028,0.7035110533159948,0.7725570097447545,0.8008,31,1024
138_glue_mnli_contradiction,logreg,0.7806266454086945,0.7806675335934113,0.8582779306789161,0.8772,31,1024
139_news_class_Politics,logreg,0.9355830943294587,0.9355932203389831,0.9829198427669487,0.9730273752012883,31,1024
140_news_class_Technology,logreg,0.9125314375069086,0.912542372881356,0.9719841296106313,0.9392109500805152,31,1024
141_news_class_Entertainment,logreg,0.9003017735510437,0.9003389830508475,0.9596345692086499,0.9871175523349437,31,1024
142_cancer_cat_Thyroid_Cancer,logreg,0.9912527520799669,0.9912536443148688,1.0,0.9995998399359743,31,1024
143_cancer_cat_Lung_Cancer,logreg,0.9854227405247813,0.9854227405247813,0.9996260029919761,1.0,31,1024
144_cancer_cat_Colon_Cancer,logreg,0.9970844985414068,0.9970845481049563,1.0,0.9991996798719489,31,1024
145_disease_class_digestive system diseases,logreg,0.6251144315660445,0.6262626262626263,0.6951020408163265,0.7159595959595959,31,952
146_disease_class_cardiovascular diseases,logreg,0.888752625901323,0.8888888888888888,0.9387755102040817,0.9208080808080809,31,952
147_disease_class_nervous system diseases,logreg,0.797979797979798,0.797979797979798,0.8534693877551021,0.9111111111111112,31,952
148_twt_emotion_worry,logreg,0.6115254237288136,0.6115254237288136,0.6566722926388014,0.6908212560386473,31,1024
149_twt_emotion_happiness,logreg,0.7464224954543721,0.7464406779661017,0.8046077814916548,0.8417874396135265,31,1024
150_twt_emotion_sadness,logreg,0.6637257222632524,0.663728813559322,0.7143440226803897,0.8023349436392915,31,1024
151_it_tick_HR Support,logreg,0.7617777995086115,0.7617866004962779,0.8327176001182208,0.818327330932373,31,1024
152_it_tick_Hardware,logreg,0.6499688995198856,0.6501240694789082,0.7056302645189891,0.8335334133653461,31,1024
153_it_tick_Administrative rights,logreg,0.8386898132229201,0.8387096774193549,0.9212354071228018,0.8451380552220888,31,1024
154_athlete_sport_football,logreg,0.9343277815751466,0.9344042838018741,0.9825450531175179,0.9967676767676767,31,1024
155_athlete_sport_basketball,logreg,0.9625167336010709,0.9625167336010709,0.991290447448782,0.9939393939393939,31,1024
156_athlete_sport_baseball,logreg,0.9611688596048396,0.9611780455153949,0.9937276884919212,0.9983838383838384,31,1024
157_amazon_5star,logreg,0.8656283039265075,0.8656410256410256,0.9522818695930252,0.9436964504283966,31,1024
158_code_C,logreg,0.9983193265917336,0.9983193277310924,0.9999814702330593,1.0,31,1024
159_code_Python,logreg,0.9979831887198646,0.9979831932773109,0.9999746910500321,1.0,31,1024
160_code_HTML,logreg,0.9892431870210102,0.9892436974789915,0.9995326883166655,1.0,31,1024
161_agnews_0,logreg,0.9989915964107838,0.9989915966386554,0.9999986441633946,1.0,31,1024
162_agnews_1,logreg,0.9993277306366931,0.999327731092437,0.9999932208169728,1.0,31,1024
163_agnews_2,logreg,0.9993277306366931,0.999327731092437,0.9999900571982269,1.0,31,1024
21_headline_istrump,logreg,0.9423823887471212,0.9423899371069182,0.978548695292034,0.9727891156462585,31,1024
22_headline_isobama,logreg,0.9492860820477133,0.9492868462757528,0.9906168374522805,0.9851940776310524,31,1024
23_headline_ischina,logreg,0.962784470442781,0.9627851140456183,0.9895026286662978,1.0,31,1024
24_headline_isiran,logreg,0.9834708235009592,0.9834710743801653,0.9949911966486552,0.992797118847539,31,1024
26_headline_isfrontpage,logreg,0.7446418701103089,0.7446540880503144,0.8210179547339396,0.8127250900360143,31,1024
36_sciq_tf,logreg,0.9136761634803008,0.9137106918238994,0.9725745008551562,0.9791916766706683,31,1024
41_truthqa_tf,logreg,0.9088116184890378,0.9090909090909091,0.9624489795918367,0.8992372541148133,31,686
42_temp_sense,logreg,0.8763615164253377,0.8765638031693077,0.9420172509738453,0.9762479871175525,31,1024
44_phys_tf,logreg,0.7612208370997773,0.7612578616352201,0.8397772138619336,0.8107242897158864,31,1024
47_reasoning_tf,logreg,0.7179417311564144,0.718132854578097,0.7729879953012635,0.7121637896427138,31,1024
48_cm_correct,logreg,0.7489007505407481,0.7489308176100629,0.83512752407753,0.872749099639856,31,1024
49_cm_isshort,logreg,1.0,1.0,1.0,1.0,31,1024
50_deon_isvalid,logreg,0.8533326650026328,0.8533333333333334,0.9262279768191434,0.8919567827130852,31,1024
51_just_is,logreg,0.8349487899346,0.8349685534591195,0.9134849357848145,0.9299719887955182,31,1024
52_virtue_is,logreg,0.9242978201702535,0.9243101182654402,0.9768482218291668,0.986,31,1024
54_cs_tf,logreg,0.634803529041377,0.6349685534591195,0.6852995172848869,0.6698679471788715,31,1024
56_wikidatasex_or_gender,logreg,0.9899371030970362,0.989937106918239,0.999219018185611,1.0,31,1024
57_wikidatais_alive,logreg,0.9527035883303467,0.9527044025157233,0.987735927391222,0.9687875150060025,31,1024
58_wikidatapolitical_party,logreg,0.9235437157655363,0.9235443037974683,0.9801939382006571,0.9751900760304122,31,1024
59_wikidata_occupation_isjournalist,logreg,0.8912806788925853,0.8912820512820513,0.9485264415794256,0.9351285189718481,31,1024
5_hist_fig_ismale,logreg,0.9856598763808229,0.9856603773584905,0.9945867960657757,1.0,31,1024
60_wikidata_occupation_isathlete,logreg,0.9353613612140542,0.9353846153846154,0.9708444137745313,0.9657282741738066,31,1024
61_wikidata_occupation_isactor,logreg,0.8892307692307693,0.8892307692307693,0.9467675968626922,0.9604243166054671,31,1024
62_wikidata_occupation_ispolitician,logreg,0.9292266000328714,0.9292307692307692,0.9754014205406133,0.9555283557731538,31,1024
63_wikidata_occupation_issinger,logreg,0.8737598334226363,0.8738461538461538,0.9413101289258424,0.9490004079967361,31,1024
64_wikidata_occupation_isresearcher,logreg,0.9326082953912169,0.932620320855615,0.9737778875894506,0.9446464646464646,31,1024
65_high-school,logreg,0.9857471083593998,0.9857471264367816,0.997188531576384,1.0,31,1024
66_living-room,logreg,0.9956998815454141,0.9956999522216914,0.9993900445778798,1.0,31,1024
