dataset,method,test_f1,test_acc,test_auc,val_auc,layer,num_train
100_news_fake,logreg,0.9980906869038703,0.9980906921241051,0.9999480522321136,1.0,9,1024
105_click_bait,logreg,0.99481528181403,0.9948152948801037,0.9997345483626002,0.9991732120711038,9,1024
106_hate_hate,logreg,0.6206615505602888,0.620880503144654,0.6646550161563239,0.6310524209683874,9,1024
107_hate_offensive,logreg,0.7848107679933952,0.7851572327044025,0.8554915299547664,0.8895558223289316,9,1024
110_aimade_humangpt3,logreg,0.9026150685114553,0.9026415094339623,0.971011271453583,0.9959983993597439,9,1024
113_movie_sent,logreg,0.8822613193690224,0.8822641509433963,0.9437763976916353,0.9715886354541816,9,1024
114_nyc_borough_Manhattan,logreg,0.709730765306077,0.7097435897435898,0.7738411822129464,0.7890656874745001,9,1024
115_nyc_borough_Brooklyn,logreg,0.6192268146325048,0.6194871794871795,0.6607070724071767,0.7731538147694819,9,1024
116_nyc_borough_Bronx,logreg,0.6583752885620054,0.6584615384615384,0.7216838623893358,0.7600979192166463,9,1024
117_us_state_FL,logreg,0.8585569985569984,0.8585858585858586,0.9583673469387755,0.983573717948718,9,900
118_us_state_CA,logreg,0.9292496259935271,0.9292929292929293,0.986530612244898,0.999198717948718,9,900
119_us_state_TX,logreg,0.9494949494949495,0.9494949494949495,0.9930612244897958,0.9771634615384616,9,900
120_us_timezone_Chicago,logreg,0.8781889649971134,0.8781967923710446,0.9502747711117557,0.972,9,1024
121_us_timezone_New_York,logreg,0.895933477434404,0.8959687906371911,0.9601221138135615,0.9656,9,1024
122_us_timezone_Los_Angeles,logreg,0.9049724288196219,0.9050715214564369,0.9701374306496053,0.956,9,1024
123_world_country_United_Kingdom,logreg,0.9928204675060046,0.9928205128205129,0.9992973036658027,0.9987760097919217,9,1024
124_world_country_United_States,logreg,0.9907686869608093,0.9907692307692307,0.9984809977446393,1.0,9,1024
125_world_country_Italy,logreg,0.9897433739554505,0.9897435897435898,0.999604470326859,1.0,9,1024
126_art_type_book,logreg,0.8118761894680715,0.811876896402254,0.8921316706775033,0.928,9,1024
127_art_type_song,logreg,0.8240059346233806,0.824013870827915,0.9068829562245126,0.9184,9,1024
128_art_type_movie,logreg,0.7676611877880251,0.7676636324230602,0.8520065205529693,0.8668,9,1024
129_arith_mc_A,logreg,0.8101205875137095,0.8102345415778252,0.8696308419712675,0.8348,9,1024
130_temp_cat_Frequency,logreg,1.0,1.0,0.9999999999999999,1.0,9,962
131_temp_cat_Typical Time,logreg,1.0,1.0,1.0,1.0,9,962
132_temp_cat_Event Ordering,logreg,1.0,1.0,1.0,1.0,9,962
133_context_type_Causality,logreg,0.9510821193012973,0.9511111111111111,0.9847503160556259,0.989448051948052,9,1024
134_context_type_Belief_states,logreg,0.9421879591742606,0.9422222222222222,0.9747945638432364,0.9508928571428571,9,1024
135_context_type_Event_duration,logreg,0.9911111111111112,0.9911111111111112,0.9994469026548672,1.0,9,1024
136_glue_mnli_entailment,logreg,0.7490246131004087,0.7490247074122237,0.8215588600906985,0.9132,9,1024
137_glue_mnli_neutral,logreg,0.6913165445276492,0.6913740788903338,0.7657816772160937,0.808,9,1024
138_glue_mnli_contradiction,logreg,0.6862239556613711,0.6866059817945384,0.7565908240277416,0.7755999999999998,9,1024
139_news_class_Politics,logreg,0.8935557993890202,0.8935593220338983,0.9579449390151975,0.9738325281803543,9,1024
140_news_class_Technology,logreg,0.8949132255639854,0.8949152542372881,0.9586509433615367,0.9202898550724637,9,1024
141_news_class_Entertainment,logreg,0.879296402402147,0.8793220338983051,0.9531205759818793,0.9834943639291466,9,1024
142_cancer_cat_Thyroid_Cancer,logreg,0.9883362095238889,0.9883381924198251,0.9996260029919761,0.9975990396158463,9,1024
143_cancer_cat_Lung_Cancer,logreg,0.9854227405247813,0.9854227405247813,0.9993200054399565,1.0,9,1024
144_cancer_cat_Colon_Cancer,logreg,0.9970844985414068,0.9970845481049563,1.0,0.986794717887155,9,1024
145_disease_class_digestive system diseases,logreg,0.6956646033758421,0.696969696969697,0.7710204081632653,0.6183838383838384,9,952
146_disease_class_cardiovascular diseases,logreg,0.8282828282828283,0.8282828282828283,0.8991836734693877,0.8375757575757575,9,952
147_disease_class_nervous system diseases,logreg,0.7876186494479801,0.7878787878787878,0.8342857142857143,0.8626262626262625,9,952
148_twt_emotion_worry,logreg,0.6073663105370165,0.607457627118644,0.6441149757494862,0.648953301127214,9,1024
149_twt_emotion_happiness,logreg,0.6827036973119076,0.6827118644067797,0.732961210209117,0.8458132045088566,9,1024
150_twt_emotion_sadness,logreg,0.6185875562724255,0.6189830508474576,0.686223354770861,0.7588566827697263,9,1024
151_it_tick_HR Support,logreg,0.7565899980912388,0.7568238213399504,0.8171272351115708,0.863545418167267,9,1024
152_it_tick_Hardware,logreg,0.704277593172848,0.7047146401985112,0.7863405743559431,0.8931572629051621,9,1024
153_it_tick_Administrative rights,logreg,0.8211946338574267,0.8213399503722084,0.9117531156100684,0.9047619047619048,9,1024
154_athlete_sport_football,logreg,0.9450763845709632,0.9451137884872824,0.9874051984917779,0.9987878787878788,9,1024
